u_bar,Tm_rr,Tm_rl
0,55,55
-0.00235767624178023,55,55
-0.00235708689639103,55,55
-0.00235649769831976,55,55
-0.00235590864752959,55,55
-0.00235531974398372,55,55
-0.00235473098764534,55,55
-0.00235414237847764,55,55
-0.00235355391644384,55,55
-0.00235296560150716,55,55
-0.00235237743363083,55,55
-0.00235178941277809,55,55
-0.00235120153891219,55,55
-0.00235061381199639,55,55
-0.00235002623199395,55,55
-0.00234943879886815,55,55
-0.00234885151258228,55,55
-0.00234826437309963,55,55
-0.0023476773803835,55,55
-0.00234709053439721,55,55
-0.0572690164160501,55,55
-0.047766538341949,55,55
-0.0477683961014105,55,55
-0.0477702533964902,55,55
-0.0477721102273042,55,55
-0.0477739665939685,55,55
-0.0477758224965991,55,55
-0.0477776779353121,55,55
-0.0477795329102233,55,55
-0.0477813874214488,55,55
-0.0477832414691045,55,55
-0.0477850950533062,55,55
-0.0477869481741697,55,55
-0.0477888008318109,55,55
-0.0477906530263456,55,55
-0.0477925047578895,55,55
-0.0477943560265585,55,55
-0.0477962068324681,55,55
-0.047798057175734,55,55
-0.047799907056472,55,55
-0.0511840228890805,55,55
-0.0525983116388959,55,55
-0.0525998113154774,55,55
-0.0526013106171866,55,55
-0.0526028095441173,55,55
-0.052604308096363,55,55
-0.0526058062740175,55,55
-0.0526073040771744,55,55
-0.0526088015059273,55,55
-0.0526102985603698,55,55
-0.0526117952405955,55,55
-0.0526132915466979,55,55
-0.0526147874787705,55,55
-0.0526162830369069,55,55
-0.0526177782212004,55,55
-0.0526192730317446,55,55
-0.0526207674686329,55,55
-0.0526222615319587,55,55
-0.0526237552218152,55,55
-0.0526252485382961,55,55
-0.0541697163755518,55,55
-0.0549859622031612,55,55
-0.0549872526753875,55,55
-0.054988542825036,55,55
-0.0549898326521874,55,55
-0.0549911221569223,55,55
-0.0549924113393214,55,55
-0.0549937001994651,55,55
-0.0549949887374341,55,55
-0.0549962769533088,55,55
-0.0549975648471698,55,55
-0.0549988524190976,55,55
-0.0550001396691727,55,55
-0.0550014265974754,55,55
-0.0550027132040863,55,55
-0.0550039994890857,55,55
-0.0550052854525541,55,55
-0.0550065710945718,55,55
-0.0550078564152192,55,55
-0.0550091414145765,55,55
-0.0558281151460554,55,55
-0.0563336082561288,55,55
-0.0563347672827841,55,55
-0.0563359260197189,55,55
-0.0563370844670057,55,55
-0.0563382426247169,55,55
-0.0563394004929248,55,55
-0.0563405580717019,55,55
-0.0563417153611204,55,55
-0.0563428723612528,55,55
-0.0563440290721712,55,55
-0.0563451854939481,55,55
-0.0563463416266557,55,55
-0.0563474974703662,55,55
-0.0563486530251519,55,55
-0.0563498082910851,55,55
-0.0563509632682378,55,55
-0.0563521179566824,55,55
-0.0563532723564909,55,55
-0.0563544264677355,55,55
-0.0568351054621693,55,55
-0.0571535173306112,55,55
-0.0571545918742701,55,55
-0.0571556661493267,55,55
-0.0571567401558481,55,55
-0.0571578138939015,55,55
-0.0571588873635538,55,55
-0.0571599605648724,55,55
-0.0571610334979241,55,55
-0.057162106162776,55,55
-0.0571631785594953,55,55
-0.0571642506881489,55,55
-0.0571653225488039,55,55
-0.0571663941415272,55,55
-0.0571674654663857,55,55
-0.0571685365234466,55,55
-0.0571696073127766,55,55
-0.0571706778344428,55,55
-0.057171748088512,55,55
-0.0571728180750511,55,55
-0.0575108695169853,55,55
-0.057710098888606,55,55
-0.057711118962459,55,55
-0.0577121387813255,55,55
-0.0577131583452691,55,55
-0.0577141776543535,55,55
-0.0577151967086426,55,55
-0.0577162155081999,55,55
-0.0577172340530892,55,55
-0.0577182523433741,55,55
-0.0577192703791182,55,55
-0.0577202881603852,55,55
-0.0577213056872387,55,55
-0.0577223229597423,55,55
-0.0577233399779595,55,55
-0.0577243567419539,55,55
-0.0577253732517892,55,55
-0.0577263895075287,55,55
-0.057727405509236,55,55
-0.0577284212569747,55,55
-0.0580213119948198,55,55
-0.0581405744991357,55,55
-0.0581415602938596,55,55
-0.0581425458421657,55,55
-0.0581435311441154,55,55
-0.0581445161997705,55,55
-0.0581455010091924,55,55
-0.0581464855724428,55,55
-0.0581474698895831,55,55
-0.0581484539606748,55,55
-0.0581494377857796,55,55
-0.0581504213649588,55,55
-0.058151404698274,55,55
-0.0581523877857865,55,55
-0.0581533706275579,55,55
-0.0581543532236496,55,55
-0.0581553355741229,55,55
-0.0581563176790394,55,55
-0.0581572995384602,55,55
-0.0581582811524469,55,55
-0.058451143658188,55,55
-0.0585143348443961,55,55
-0.0585153005385155,55,55
-0.0585162659912416,55,55
-0.0585172312026346,55,55
-0.058518196172755,55,55
-0.058519160901663,55,55
-0.0585201253894189,55,55
-0.058521089636083,55,55
-0.0585220536417155,55,55
-0.0585230174063768,55,55
-0.058523980930127,55,55
-0.0585249442130264,55,55
-0.0585259072551352,55,55
-0.0585268700565136,55,55
-0.0585278326172216,55,55
-0.0585287949373196,55,55
-0.0585297570168676,55,55
-0.0585307188559258,55,55
-0.0585316804545543,55,55
-0.0588414955355876,55,55
